artist,start,end,stage
BRN LUXXRY,2:20 PM,2:55 PM,Coachella Stage
Marc Rebillet,3:00 PM,3:50 PM,Coachella Stage
070 Shake,4:20 PM,5:05 PM,Coachella Stage
Charli XCX,5:35 PM,6:25 PM,Coachella Stage
Rosalía,7:00 PM,8:10 PM,Coachella Stage
BLACKPINK,9:00 PM,11:00 PM,Coachella Stage
Calvin Harris,11:35 PM,CLOSE,Coachella Stage
Yimbo,1:40 PM,2:50 PM,Outdoor Theater
Rebelution,3:00 PM,3:45 PM,Outdoor Theater
EARTHGANG,4:10 PM,4:55 PM,Outdoor Theater
Hiatus Kaiyote,5:20 PM,6:10 PM,Outdoor Theater
SOFI TUKKER,6:35 PM,7:30 PM,Outdoor Theater
boygenius,8:10 PM,9:00 PM,Outdoor Theater
Eric Prydz,10:20 PM,CLOSE,Outdoor Theater
Buster Jarvis,12:00 PM,1:00 PM,Sonora
Horsegirl,1:00 PM,1:30 PM,Sonora
Scowl,1:45 PM,2:15 PM,Sonora
BRATTY,2:40 PM,3:15 PM,Sonora
Destroy Boys,3:35 PM,4:10 PM,Sonora
Ethel Cain,4:30 PM,5:15 PM,Sonora
The Linda Lindas,5:35 PM,6:15 PM,Sonora
The Breeders,6:40 PM,7:30 PM,Sonora
Sunset Rollercoaster,7:55 PM,8:40 PM,Sonora
Bakar,9:00 PM,9:40 PM,Sonora
NIA ARCHIVES,10:00 PM,CLOSE,Sonora
dxsko,1:10 PM,2:20 PM,Gobi
Elyanna,2:30 PM,3:10 PM,Gobi
UMI,3:35 PM,4:15 PM,Gobi
Dinner Party,4:40 PM,5:30 PM,Gobi
Shenseea,5:55 PM,6:35 PM,Gobi
Yaeji,7:00 PM,7:50 PM,Gobi
Eladio Carrión,8:20 PM,9:05 PM,Gobi
Monolink,9:30 PM,10:15 PM,Gobi
Chromeo,10:40 PM,11:30 PM,Gobi
Donavan's Yard,11:55 PM,CLOSE,Gobi
wave Groove,12:50 PM,1:55 PM,Mojave
AG Club,2:10 PM,2:50 PM,Mojave
Snail Mail,3:10 PM,3:50 PM,Mojave
Yung Lean,4:15 PM,4:55 PM,Mojave
Mura Masa,5:20 PM,6:00 PM,Mojave
Remi Wolf,6:25 PM,7:10 PM,Mojave
Jai Paul,7:40 PM,8:30 PM,Mojave
Underworld,9:05 PM,10:00 PM,Mojave
Labrinth,10:35 PM,CLOSE,Mojave
Venessa Michaels,1:50 PM,3:05 PM,Sahara
Flo Milli,3:20 PM,4:00 PM,Sahara
Kenny Beats,4:20 PM,5:15 PM,Sahara
Elderbrook,5:30 PM,6:25 PM,Sahara
Diljit Dosanjh,6:50 PM,7:30 PM,Sahara
Tale Of Us,8:05 PM,9:00 PM,Sahara
The Kid LAROI,10:20 PM,11:10 PM,Sahara
$uicideboy$,11:45 PM,CLOSE,Sahara
Talon,12:00 PM,1:00 PM,Yuma
Francis Mercier,1:00 PM,2:00 PM,Yuma
Chloé Caillet,2:00 PM,3:00 PM,Yuma
Colyn,3:00 PM,4:15 PM,Yuma
Mathame,4:15 PM,5:30 PM,Yuma
DJ Tennis + Carlita,5:30 PM,6:45 PM,Yuma
Jan Blomqvist,6:45 PM,8:00 PM,Yuma
WhoMadeWho,8:00 PM,9:30 PM,Yuma
Hot Since 82,9:30 PM,11:00 PM,Yuma
Keinemusik,11:00 PM,CLOSE,Yuma
Sweet Like Chocolate,12:00 PM,2:15 PM,Heineken House
Andre Power,2:15 PM,4:15 PM,Heineken House
DJ PEE .WEE All Vinyl Set (Anderson .Paak),4:30 PM,6:00 PM,Heineken House
Method Man & Redman,6:30 PM,7:30 PM,Heineken House
Austin Millz,8:00 PM,10:00 PM,Heineken House
Maria También,12:00 PM,1:20 PM,Do LaB
Little Dinosaur,1:20 PM,2:35 PM,Do LaB
SOHMI,2:35 PM,3:50 PM,Do LaB
KIMONOS,3:55 PM,5:05 PM,Do LaB
(SURPRISE),5:10 PM,6:10 PM,Do LaB
Mild Minds DJ set,6:15 PM,7:15 PM,Do LaB
Carlita,7:20 PM,8:20 PM,Do LaB
DJ Tennis,8:20 PM,9:20 PM,Do LaB
Phantoms DJ set,9:20 PM,10:30 PM,Do LaB
(SURPRISE),10:30 PM,11:45 PM,Do LaB
(SURPRISE),11:45 PM,1:00 AM,Do LaB
