artist,start,end,stage
Jaqck Glam,3:45 PM,4:35 PM,Coachella Stage
Santa Fe Klan,4:45 PM,5:30 PM,Coachella Stage
Sublime,6:05 PM,6:55 PM,Coachella Stage
Blur,7:40 PM,8:40 PM,Coachella Stage
No Doubt,9:25 PM,10:40 PM,Coachella Stage
Tyler the Creator,11:40 PM,CLOSE,Coachella Stage
Gabe Real,4:05 PM,4:50 PM,Outdoor Theater
Vampire Weekend,5:00 PM,5:45 PM,Outdoor Theater
Blxst,6:10 PM,6:55 PM,Outdoor Theater
Jon Batiste,7:25 PM,8:10 PM,Outdoor Theater
JUNGLE,8:40 PM,9:30 PM,Outdoor Theater
Gesaffelstein,10:40 PM,CLOSE,Outdoor Theater
Triste Juventud x TOTEM,1:00 PM,2:00 PM,Sonora
Militarie Gun,2:00 PM,2:35 PM,Sonora
Girl Ultra,2:55 PM,3:30 PM,Sonora
The Aquabats,3:55 PM,4:40 PM,Sonora
The Adicts,5:05 PM,5:50 PM,Sonora
Depresión Sonora,6:15 PM,6:50 PM,Sonora
The Red Pears,7:15 PM,7:50 PM,Sonora
bar italia,8:15 PM,8:55 PM,Sonora
Brutalismus 3000,9:15 PM,CLOSE,Sonora
Elusive,1:15 PM,1:55 PM,Gobi
Erika de Casier,2:05 PM,2:45 PM,Gobi
Young Fathers,3:10 PM,3:50 PM,Gobi
thuy,4:20 PM,5:00 PM,Gobi
The Last Dinner Party,5:30 PM,6:15 PM,Gobi
Palace,6:45 PM,7:30 PM,Gobi
Oneohtrix Point Never,8:00 PM,8:45 PM,Gobi
Saint Levant,9:15 PM,9:55 PM,Gobi
Kevin Kaarl,10:25 PM,11:05 PM,Gobi
Orbital,11:40 PM,CLOSE,Gobi
ANIKA KAI,2:00 PM,2:55 PM,Mojave
Kenya Grace,3:05 PM,3:45 PM,Mojave
RAYE,4:10 PM,4:55 PM,Mojave
Kevin Abstract,5:25 PM,6:05 PM,Mojave
Bleachers,6:50 PM,7:35 PM,Mojave
Charlotte de Witte,8:05 PM,9:20 PM,Mojave
Coi Leray,9:50 PM,10:20 PM,Mojave
The Drums,10:45 PM,CLOSE,Mojave
Loboman,2:00 PM,3:00 PM,Sahara
Starrza,3:10 PM,4:10 PM,Sahara
Destroy Lonely,4:30 PM,5:15 PM,Sahara
Purple Disco Machine,5:40 PM,6:40 PM,Sahara
Grimes,7:10 PM,8:00 PM,Sahara
Ice Spice,8:30 PM,9:00 PM,Sahara
ISOKNOCK,9:30 PM,10:20 PM,Sahara
LE SSERAFIM,10:50 PM,11:30 PM,Sahara
Dom Dolla,11:55 PM,CLOSE,Sahara
Kimonos,1:00 PM,2:00 PM,Yuma
Maz,2:00 PM,3:00 PM,Yuma
Mahmut Orhan,3:00 PM,4:15 PM,Yuma
Rebuke,4:15 PM,5:30 PM,Yuma
Will Clarke,5:30 PM,6:45 PM,Yuma
Ame x Marcel Dettmann,6:45 PM,8:00 PM,Yuma
Reinier Zonneveld,8:00 PM,9:30 PM,Yuma
Patrick Mason,9:30 PM,11:00 PM,Yuma
The Blessed Madonna,11:00 PM,CLOSE,Yuma
Carlita,5:00 PM,7:15 PM,Quasar
Michael Bibi,7:15 PM,CLOSE,Quasar
DAYSonMarket,2:00 PM,4:00 PM,Heineken House
Marten Lou,4:00 PM,5:30 PM,Heineken House
Channel Tres DJ SET,5:30 PM,7:00 PM,Heineken House
T-Pain,7:15 PM,8:00 PM,Heineken House
BIA,8:05 PM,8:35 PM,Heineken House
Dennis Ferrer x Skream,8:35 PM,10:00 PM,Heineken House
Maddy Maia b2b Tottie,1:00 PM,2:15 PM,Do LaB
Awen,2:15 PM,3:30 PM,Do LaB
Parallelle,3:30 PM,4:30 PM,Do LaB
Azzecca,4:30 PM,5:30 PM,Do LaB
Jersey,5:30 PM,6:30 PM,Do LaB
AHADADREAM,6:30 PM,7:35 PM,Do LaB
Surprise,7:35 PM,8:20 PM,Do LaB
VNSSA b2b Nala,8:20 PM,9:20 PM,Do LaB
Sam Gellaitry,9:20 PM,10:20 PM,Do LaB
Surprise,10:20 PM,11:50 PM,Do LaB
Surprise,11:50 PM,1:00 AM,Do LaB
