artist,start,end,stage
GloRilla,3:40 PM,4:20 PM,Coachella Stage
Porter Robinson,4:45 PM,5:35 PM,Coachella Stage
Kali Uchis,6:00 PM,6:55 PM,Coachella Stage
Björk,7:30 PM,8:45 PM,Coachella Stage
blink-182,9:20 PM,10:20 PM,Coachella Stage
tba,10:25 PM,CLOSE,Coachella Stage
Gabe Real,1:00 PM,2:00 PM,Outdoor Theater
Los Fabulosos Cadillacs,2:10 PM,2:55 PM,Outdoor Theater
Stick Figure,3:20 PM,4:05 PM,Outdoor Theater
Big Wild,4:30 PM,5:30 PM,Outdoor Theater
Rae Sremmurd,5:55 PM,6:40 PM,Outdoor Theater
Dominic Fike,7:05 PM,7:55 PM,Outdoor Theater
Fisher + Chris Lake,8:35 PM,CLOSE,Outdoor Theater
Eric Sanchez,12:00 PM,1:00 PM,Sonora
Conexión Divina,1:00 PM,1:30 PM,Sonora
Los Bitchos,1:55 PM,2:30 PM,Sonora
El Michels Affair,2:55 PM,3:35 PM,Sonora
Sleaford Mods,4:00 PM,4:40 PM,Sonora
Momma,5:05 PM,5:40 PM,Sonora
Alex G,6:00 PM,6:45 PM,Sonora
Mareux,7:15 PM,7:50 PM,Sonora
Knocked Loose,8:10 PM,8:50 PM,Sonora
Sudan Archives,9:10 PM,CLOSE,Sonora
BRIGGS,12:40 PM,1:40 PM,Gobi
Ali Sethi,1:50 PM,2:25 PM,Gobi
Joy Crookes,2:45 PM,3:20 PM,Gobi
Fousheé,3:40 PM,4:20 PM,Gobi
Romy,4:45 PM,5:30 PM,Gobi
2manydjs,5:55 PM,6:45 PM,Gobi
Cannons,7:10 PM,7:50 PM,Gobi
DRAMA,8:15 PM,8:55 PM,Gobi
DPR LIVE + DPR IAN,9:20 PM,CLOSE,Gobi
Muezette,12:45 PM,1:55 PM,Mojave
Paris Texas,2:05 PM,2:45 PM,Mojave
IDK,3:05 PM,3:45 PM,Mojave
Noname,4:10 PM,4:50 PM,Mojave
Weyes Blood,5:15 PM,6:00 PM,Mojave
Christine and the Queens,6:25 PM,7:15 PM,Mojave
WILLOW,7:45 PM,8:30 PM,Mojave
The Blaze,8:55 PM,CLOSE,Mojave
sir skrause,1:40 PM,2:50 PM,Sahara
Pi'erre Bourne,3:00 PM,3:40 PM,Sahara
Gordo,3:55 PM,4:55 PM,Sahara
Latto,5:05 PM,5:45 PM,Sahara
Jackson Wang,6:10 PM,7:00 PM,Sahara
Jai Wolf,7:25 PM,8:15 PM,Sahara
A Boogie,8:40 PM,9:30 PM,Sahara
Boris Brejcha,9:45 PM,CLOSE,Sahara
Minus The Light,12:00 PM,1:00 PM,Yuma
Airrica,1:00 PM,2:00 PM,Yuma
LP Giobbi,2:00 PM,3:00 PM,Yuma
TSHA,3:00 PM,4:30 PM,Yuma
Cassian,4:30 PM,6:00 PM,Yuma
Sasha & John Digweed,6:00 PM,7:30 PM,Yuma
Camelphat,7:30 PM,9:00 PM,Yuma
Adam Beyer,9:00 PM,CLOSE,Yuma
Max Styler,12:00 PM,2:00 PM,Heineken House
Black V Neck,2:00 PM,4:00 PM,Heineken House
Bontan,4:00 PM,6:00 PM,Heineken House
Fleetmac Wood,6:00 PM,8:00 PM,Heineken House
Snakeships,8:00 PM,10:00 PM,Heineken House
Carré b2b Samwise,12:30 PM,2:10 PM,Do LaB
Syreeta,2:10 PM,3:15 PM,Do LaB
Hank K,3:15 PM,4:20 PM,Do LaB
Arodes,4:25 PM,5:30 PM,Do LaB
Mikey Lion,5:35 PM,6:40 PM,Do LaB
Odd Mob,6:45 PM,7:50 PM,Do LaB
Devault,7:55 PM,9:00 PM,Do LaB
Giolì & Assia,9:00 PM,10:05 PM,Do LaB
(SURPRISE),10:00 PM,11:10 PM,Do LaB
(SURPRISE),11:10 PM,12:00 AM,Do LaB
